VOTOS	SMSs	  ULTIMO	   CELULAR	APELLIDO NOMBRE
212  	15  	10:15:42	  12:49:54	
229  	17  	17:07:15	  19:03:27	
320  	30  	10:45:40	  18:05:48	
364  	30  	10:41:50	  19:15:06	
371  	26  	10:17:45	  17:24:50	
567  	43  	11:59:14	  19:08:54	
594  	57  	10:36:17	  18:08:33	
608  	41  	15:18:27	  18:52:13	
667  	48  	10:28:35	  18:37:14	
695  	55  	09:23:35	  18:07:39	
753  	62  	10:57:14	  18:30:24	
759  	74  	09:43:46	  19:14:53	
759  	74  	10:11:59	  18:38:05	
770  	81  	09:48:32	  18:35:42	
802  	56  	12:55:07	  19:04:50	
809  	96  	10:45:19	  18:46:35	
816  	51  	11:44:02	  19:09:06	
824  	56  	13:26:31	  19:17:44	
824  	56  	13:26:31	  19:17:44	
827  	83  	10:23:12	  18:54:59	
849  	65  	10:52:01	  18:50:32	
907  	86  	10:23:24	  18:32:51	
908  	61  	10:49:43	  17:34:18	
914  	72  	10:07:08	  18:40:26	
1008 	69  	10:35:57	  17:44:24	
1012 	74  	10:34:41	  19:30:20	
1020 	71  	11:02:43	  19:14:53	
1063 	75  	11:00:34	  19:14:20	
1124 	93  	11:01:37	  19:38:25	
1132 	85  	11:10:20	  19:20:25	
1168 	123 	09:51:50	  20:05:14	
1193 	78  	09:56:38	  18:52:39	
1230 	110 	09:54:34	  19:23:35	
1250 	83  	10:36:42	  18:58:26	
1411 	121 	10:09:20	  18:43:34	
1415 	97  	10:31:35	  20:03:20	
1513 	102 	10:01:29	  19:29:22	
1533 	106 	11:01:24	  19:40:22	
1562 	111 	10:37:56	  19:33:55	
1591 	110 	11:11:05	  20:04:39	
1642 	117 	11:05:16	  19:20:38	
1775 	126 	09:29:58	  20:30:14	
38966	3079	09:23:35	  20:30:14	
